,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_merged_1_dropout,params_merged_1_size,params_merged_2_dropout,params_merged_2_size,params_merged_3_dropout,params_merged_3_size,state
86,86,0.8018867924528302,2024-03-04 22:19:15.705073,2024-03-04 22:19:41.233741,0 days 00:00:25.528668,0.00028964873952890105,0.48704055160110893,137,0.19038854180907108,99,0.42654235014080216,49,COMPLETE
87,87,0.7830188679245284,2024-03-04 22:19:41.235104,2024-03-04 22:19:57.351919,0 days 00:00:16.116815,0.0010031761006008182,0.4267885073965998,157,0.23468940799375856,118,0.47602554949572384,44,COMPLETE
88,88,0.7830188679245284,2024-03-04 22:19:57.352685,2024-03-04 22:20:19.822789,0 days 00:00:22.470104,0.00045152915361475595,0.47109588002710456,132,0.250471842251955,96,0.4572422455576833,45,COMPLETE
89,89,0.7924528301886793,2024-03-04 22:20:19.824176,2024-03-04 22:20:30.566131,0 days 00:00:10.741955,0.0021043800290100156,0.4888458256655912,143,0.2843426285676203,103,0.4136637274820473,46,COMPLETE
90,90,0.8018867924528302,2024-03-04 22:20:30.567422,2024-03-04 22:20:47.246342,0 days 00:00:16.678920,0.0014920776147823523,0.4540265883486718,165,0.2198799659219608,110,0.4405802718077976,50,COMPLETE
91,91,0.7830188679245284,2024-03-04 22:20:47.247107,2024-03-04 22:21:02.342946,0 days 00:00:15.095839,0.0008011082054651061,0.4360941406777055,242,0.24665260769730127,92,0.4776326261826186,57,COMPLETE
92,92,0.8207547169811321,2024-03-04 22:21:02.344348,2024-03-04 22:21:11.398931,0 days 00:00:09.054583,0.014543102477927665,0.31047338723934076,216,0.2600098891393623,87,0.46893027281209576,52,COMPLETE
93,93,0.7735849056603774,2024-03-04 22:21:11.399984,2024-03-04 22:21:50.554173,0 days 00:00:39.154189,1.5264568287627536e-05,0.4450610992002913,123,0.21013048391376865,101,0.35638635323053613,60,COMPLETE
94,94,0.8018867924528302,2024-03-04 22:21:50.555725,2024-03-04 22:22:11.799936,0 days 00:00:21.244211,0.0006404990369216723,0.47866219547350286,172,0.12960820424288613,68,0.397900202000824,59,COMPLETE
95,95,0.8113207547169812,2024-03-04 22:22:11.802479,2024-03-04 22:22:25.663012,0 days 00:00:13.860533,0.004249249079881657,0.46073218552818196,256,0.37701979759488696,95,0.31232365352641783,54,COMPLETE
96,96,0.7924528301886793,2024-03-04 22:22:25.664641,2024-03-04 22:22:38.111128,0 days 00:00:12.446487,0.006085289058979471,0.4186644497721899,247,0.45045219880024007,107,0.24148658816630492,47,COMPLETE
97,97,0.8113207547169812,2024-03-04 22:22:38.112527,2024-03-04 22:22:55.373040,0 days 00:00:17.260513,0.001734447765509697,0.42723781789507564,118,0.4358900560682505,79,0.17685831942987634,63,COMPLETE
98,98,0.8207547169811321,2024-03-04 22:22:55.375174,2024-03-04 22:23:15.425324,0 days 00:00:20.050150,0.0011373840244314573,0.1862817238399629,224,0.4252671394961693,83,0.3431425152756691,37,COMPLETE
99,99,0.7735849056603774,2024-03-04 22:23:15.427343,2024-03-04 22:23:24.546616,0 days 00:00:09.119273,0.009885874794879861,0.3980237018672471,97,0.39229512844044545,98,0.1450685119743665,28,COMPLETE
100,100,0.7735849056603774,2024-03-04 22:23:24.547940,2024-03-04 22:23:36.046250,0 days 00:00:11.498310,0.0028120222957231074,0.47034184215655156,80,0.3319392853350396,90,0.2795536083938923,56,COMPLETE
101,101,0.8207547169811321,2024-03-04 22:23:36.047662,2024-03-04 22:23:53.918923,0 days 00:00:17.871261,0.0006036714791968194,0.49875481676952305,252,0.22805306358210628,104,0.45711113569977974,48,COMPLETE
102,102,0.8113207547169812,2024-03-04 22:23:53.920318,2024-03-04 22:24:14.300146,0 days 00:00:20.379828,0.000748405673450143,0.4928233464527017,244,0.17659139862977638,101,0.4935209583416286,46,COMPLETE
103,103,0.8113207547169812,2024-03-04 22:24:14.301534,2024-03-04 22:24:21.490544,0 days 00:00:07.189010,0.022585434632897375,0.479575028050977,232,0.19756096528655084,105,0.44136960744234055,43,COMPLETE
104,104,0.8018867924528302,2024-03-04 22:24:21.491943,2024-03-04 22:24:40.204396,0 days 00:00:18.712453,0.0008651509277447339,0.45017516554491555,237,0.24109160890357245,111,0.41804630332195997,40,COMPLETE
105,105,0.7830188679245284,2024-03-04 22:24:40.205816,2024-03-04 22:25:00.418420,0 days 00:00:20.212604,0.00047100812666978575,0.2758667103704088,128,0.30295787364149157,35,0.37609793643490586,51,COMPLETE
106,106,0.7830188679245284,2024-03-04 22:25:00.419888,2024-03-04 22:25:36.373468,0 days 00:00:35.953580,0.00021372008028461536,0.4872199774589953,158,0.2642888733376809,99,0.4324043349512683,58,COMPLETE
107,107,0.8113207547169812,2024-03-04 22:25:36.376058,2024-03-04 22:25:58.208042,0 days 00:00:21.831984,0.0009810773764064998,0.2951614643648908,248,0.4136095245366458,93,0.46748653092186854,55,COMPLETE
108,108,0.8113207547169812,2024-03-04 22:25:58.209460,2024-03-04 22:26:23.541025,0 days 00:00:25.331565,0.0003194464858284516,0.43804773806108693,246,0.2247588754598308,49,0.3354504823511005,44,COMPLETE
